Rg	Dos.	Favoris	Vidéo	NOM Prénom	Tps	Cat	Rg/Cat	Rg/S	Equipe	TOD	Swim	Cycle	Run	Swim	Cycle	Run
162	518			Tanguy RAVENELLE	02:30:12	SEM	103	157	SAINT AVERTIN SPORTS TRI 37	17:14:04	00:30:49	01:10:50	00:48:32	00:30:49	01:10:50	00:48:32
163	213			Jean CAUSSIN	02:30:13	SEM	104	158	TOBESPORT	17:14:05	00:36:20	01:10:49	00:43:04	00:36:20	01:10:49	00:43:04
164	828			Pierre Louis DORLANNE	02:30:13	SEM	105	159	COURBEVOIE	17:14:05	00:33:58	01:12:06	00:44:09	00:33:58	01:12:06	00:44:09
165	38			Francois GALISSON	02:30:15	VEM	51	160	TRI ATLANTIQUE CARQUEFOU	17:14:06	00:36:09	01:10:58	00:43:07	00:36:09	01:10:58	00:43:07
166	20			Antoine FERRON	02:30:20	SEM	106	161	SAINT HERBLAIN TRI	17:14:11	00:36:21	01:11:59	00:41:59	00:36:21	01:11:59	00:41:59
167	524			Guillaume LENOEL	02:30:22	VEM	52	162	RENNES TRI	17:14:14	00:34:48	01:11:15	00:44:18	00:34:48	01:11:15	00:44:18
168	667			Julien MARANDAT	02:30:23	SEM	107	163	CHARTRES METROPOLE TRIATHLON	17:14:14	00:33:35	01:09:54	00:46:53	00:33:35	01:09:54	00:46:53
169	173			David TIREL	02:30:24	VEM	53	164	TRI VELOCE SAINT SEBASTIEN	17:14:16	00:35:23	01:10:03	00:44:57	00:35:23	01:10:03	00:44:57
170	284			Anthony VIOT	02:30:34	VEM	54	165	ENDURANCE 72 TRI	17:14:26	00:36:12	01:10:43	00:43:38	00:36:12	01:10:43	00:43:38
171	1009			Nicolas LAMY	02:30:36	VEM	55	166	COUERON	17:14:28	00:31:26	01:13:55	00:45:14	00:31:26	01:13:55	00:45:14
172	512			Stephane JOURDREN	02:30:54	SEM	108	167	ATHLETIC RETZ SUD LAC	17:14:46	00:40:42	01:09:16	00:40:55	00:40:42	01:09:16	00:40:55
173	664			Tony MENAGER	02:30:56	VEM	56	168	CNP REDON	17:14:48	00:35:44	01:11:16	00:43:56	00:35:44	01:11:16	00:43:56
174	589			Matthieu TOURNEUR	02:30:59	SEM	109	169	SO HOUILLES TRI	17:14:51	00:31:02	01:14:35	00:45:21	00:31:02	01:14:35	00:45:21
175	85			Adrien JUMEAUX	02:31:04	SEM	110	170	TRI CLUB NANTAIS	17:14:56	00:37:55	01:10:13	00:42:55	00:37:55	01:10:13	00:42:55
176	299			Pascal PICART	02:31:11	VEM	57	171	MAT 72  LE MANS ASSOCIATION TRIA	17:15:02	00:31:30	01:10:22	00:49:17	00:31:30	01:10:22	00:49:17
177	456			Frederic GAILLARD	02:31:13	VEM	58	172	PAYS D ANCENIS CLUB TRI 44	17:15:05	00:35:05	01:11:26	00:44:42	00:35:05	01:11:26	00:44:42
178	786			Sylvain LE PENNEC	02:31:15	VEM	59	173	LE LOROUX-BOTTEREAU	17:15:07	00:36:04	01:10:39	00:44:31	00:36:04	01:10:39	00:44:31
179	812			Jeremie CLOS	02:31:23	SEM	111	174	PARIS	17:15:15	00:31:07	01:10:38	00:49:37	00:31:07	01:10:38	00:49:37
180	630			Johann FONTAINE	02:31:33	VEM	60	175	CLUB BPC	17:15:24	00:36:03	01:10:54	00:44:35	00:36:03	01:10:54	00:44:35
181	368			Vincent O LENOIR	02:31:37	SEM	112	176	ATHLETIC CLUB BOULOGNE BILLANCOURT	17:15:29	00:35:20	01:14:22	00:41:54	00:35:20	01:14:22	00:41:54
182	404			Christopher LANDRY	02:31:38	VEM	61	177	LEVALLOIS TRI	17:15:30	00:40:26	01:11:03	00:40:09	00:40:26	01:11:03	00:40:09
183	781			Etienne SIMON	02:31:39	SEM	113	178	SAINT-SEBASTIEN-SUR-LOIRE	17:15:31	00:37:43	01:10:38	00:43:17	00:37:43	01:10:38	00:43:17
184	954			Sebastien BLUTEAU	02:31:42	SEM	114	179	CHANTONNAY TRI	17:15:34	00:36:20	01:10:17	00:45:05	00:36:20	01:10:17	00:45:05
185	339			Nicolas BELLEST	02:31:46	VEM	62	180	ROUEN TRIATHLON	17:15:37	00:32:53	01:14:00	00:44:52	00:32:53	01:14:00	00:44:52
186	42			Fabrice LUCAS	02:31:48	VEM	63	181	TRI ATLANTIQUE CARQUEFOU	17:15:40	00:35:02	01:11:54	00:44:51	00:35:02	01:11:54	00:44:51
187	316			Marc BRETON	02:31:50	SEM	115	182	PARIS SPORT CLUB	17:15:42	00:39:05	01:11:15	00:41:29	00:39:05	01:11:15	00:41:29
188	618			Tanguy GESTIN	02:31:51	SEM	116	183	MONTFORT MERE TRI	17:15:42	00:41:39	01:10:16	00:39:54	00:41:39	01:10:16	00:39:54
189	550			Jerome LESACHEY	02:31:51	VEM	64	184	CAEN TRI	17:15:43	00:35:58	01:11:14	00:44:38	00:35:58	01:11:14	00:44:38
190	995			Pierre SALIGNAT	02:31:53	VEM	65	185	CLUB YERROIS DE TRI 91	17:15:45	00:36:54	01:11:08	00:43:50	00:36:54	01:11:08	00:43:50
191	952			Didier LEFEUVRE	02:32:03	VEM	66	186	TCG 79 PARTHENAY	17:15:55	00:31:08	01:12:40	00:48:15	00:31:08	01:12:40	00:48:15
192	382			Eric NEIRINCKX	02:32:08	VEM	67	187	COURBEVOIE TRI	17:16:00	00:35:57	01:10:59	00:45:11	00:35:57	01:10:59	00:45:11
193	936			Stephane LUCIANI	02:32:16	VEM	68	188	VELIZY TRI	17:16:08	00:34:46	01:12:15	00:45:14	00:34:46	01:12:15	00:45:14
194	210			Bruno BROCHET	02:32:18	VEM	69	189	TOBESPORT	17:16:10	00:36:50	01:11:27	00:43:59	00:36:50	01:11:27	00:43:59
195	184			Gildas MALECOT	02:32:19	VEM	70	190	ANJOU TRIATHLON TRELAZE	17:16:10	00:35:07	01:10:30	00:46:40	00:35:07	01:10:30	00:46:40
196	39			Patrick GARNIER	02:32:22	VEM	71	191	TRI ATLANTIQUE CARQUEFOU	17:16:14	00:36:59	01:10:48	00:44:34	00:36:59	01:10:48	00:44:34
197	1020			Claire HALOPEAU	02:32:23	SEF	5	6		17:16:14	00:34:06	01:15:15	00:43:01	00:34:06	01:15:15	00:43:01
198	934			Gilles JAUDOIN	02:32:29	VEM	72	192	VELIZY TRI	17:16:21	00:35:10	01:11:46	00:45:32	00:35:10	01:11:46	00:45:32
199	893			Enguerrand BERTHOLET	02:32:30	SEM	117	193	DIJON SINGLETRACK	17:16:21	00:41:13	01:12:01	00:39:14	00:41:13	01:12:01	00:39:14
200	77			Christophe HARAT	02:32:33	VEM	73	194	TRI CLUB NANTAIS	17:16:25	00:35:59	01:11:29	00:45:04	00:35:59	01:11:29	00:45:04
201	485			Pascal ROUGERON	02:32:38	VEM	74	195	BEST TRI SAINT NAZAIRE	17:16:30	00:34:10	01:13:48	00:44:39	00:34:10	01:13:48	00:44:39
202	81			Cedric HY	02:32:44	VEM	75	196	TRI CLUB NANTAIS	17:16:35	00:32:36	01:15:48	00:44:19	00:32:36	01:15:48	00:44:19
203	813			Hugo DOMENECH	02:32:50	SEM	118	197	PARIS	17:16:42	00:32:39	01:14:08	00:46:03	00:32:39	01:14:08	00:46:03
204	434			Olivier DUAULT	02:32:57	VEM	76	198	CLUB DE TRIATHLON DE LOCMINE	17:16:49	00:32:41	01:14:06	00:46:10	00:32:41	01:14:06	00:46:10
205	139			Julien LE PRIOL	02:33:01	SEM	119	199	TRI COTE D AMOUR	17:16:53	00:38:39	01:09:14	00:45:08	00:38:39	01:09:14	00:45:08
206	277			Stephane BEAU	02:33:04	VEM	77	200	ENDURANCE 72 TRI	17:16:56	00:40:10	01:11:11	00:41:43	00:40:10	01:11:11	00:41:43
207	303			Nicolas FOUSSIER	02:33:07	SEM	120	201	SABLE TRI	17:16:59	00:36:04	01:12:23	00:44:40	00:36:04	01:12:23	00:44:40
208	620			Jocelyn LEMOINE	02:33:27	SEM	121	202	LORIENT TRI FLK	17:17:18	00:37:59	01:12:58	00:42:28	00:37:59	01:12:58	00:42:28
209	906			Emmanuel MAHE	02:33:37	SEM	122	203	TOBESPORT MANITOU |	17:17:28	00:38:31	01:14:30	00:40:36	00:38:31	01:14:30	00:40:36
210	1015			Patrice BICHE	02:33:37	VEM	78	204	SEGRE ESSHA TRI	17:17:29	00:37:57	01:09:15	00:46:24	00:37:57	01:09:15	00:46:24
211	93			Aurelien LETORT	02:33:40	SEM	123	205	TRI CLUB NANTAIS AURÚLIEN CLUB LETORT	17:17:32	00:41:26	01:11:21	00:40:52	00:41:26	01:11:21	00:40:52
212	1100			Jerome TANT	02:33:58	VEM	79	206	MAT 72  LE MANS ASSOCIATION TRIA	17:17:49	00:35:32	01:22:21	00:36:04	00:35:32	01:22:21	00:36:04
213	92			Nicolas LETERRIER	02:34:00	VEM	80	207	TRI CLUB NANTAIS	17:17:52	00:40:36	01:10:58	00:42:25	00:40:36	01:10:58	00:42:25
214	856			Christophe YBERT	02:34:08	SEM	124	208	USA TRIATHLON	17:18:00	00:37:41	01:10:51	00:45:35	00:37:41	01:10:51	00:45:35
215	237			Jerome ROUSSEAU	02:34:09	VEM	81	209	TOBESPORT	17:18:01	00:38:14	01:12:17	00:43:37	00:38:14	01:12:17	00:43:37
216	835			Arnaud BURELLER	02:34:11	VEM	82	210	USA TRIATHLON	17:18:02	00:30:55	01:14:39	00:48:35	00:30:55	01:14:39	00:48:35
217	984			Gregoire GEFFRAY	02:34:13	SEM	125	211	CLUB YERROIS DE TRI 91	17:18:04	00:30:48	01:12:46	00:50:38	00:30:48	01:12:46	00:50:38
218	234			Stephan PRUVREL	02:34:13	VEM	83	212	TOBESPORT	17:18:05	00:36:51	01:11:09	00:46:12	00:36:51	01:11:09	00:46:12
219	925			Thomas POUVREAU	02:34:15	SEM	126	213	POISSY TRI	17:18:06	00:31:41	01:14:45	00:47:47	00:31:41	01:14:45	00:47:47
220	946			Anthony LALOUA	02:34:17	SEM	127	214	VERSAILLES TRI	17:18:09	00:37:19	01:14:35	00:42:21	00:37:19	01:14:35	00:42:21
221	462			Jose AUBRY	02:34:18	VEM	84	215	NANTES TRI	17:18:10	00:34:18	01:12:49	00:47:11	00:34:18	01:12:49	00:47:11
222	128			Cyril GERARD	02:34:20	SEM	128	216	TRI COTE D AMOUR	17:18:11	00:36:07	01:13:41	00:44:30	00:36:07	01:13:41	00:44:30
223	491			Stephane LE CALVE	02:34:21	VEM	85	217	BEST TRI SAINT NAZAIRE	17:18:13	00:39:43	01:11:15	00:43:22	00:39:43	01:11:15	00:43:22
224	346			Maxime RIQUIER	02:34:23	SEM	129	218	ROUEN	17:18:15	00:28:51	01:19:26	00:46:05	00:28:51	01:19:26	00:46:05
225	527			Damien BELAIR	02:34:26	SEM	130	219	RENNES TRI	17:18:18	00:35:25	01:16:50	00:42:10	00:35:25	01:16:50	00:42:10
226	762			Ronan LAMENISOT	02:34:32	SEM	131	220	SAPEURS-POMPIERS DE DIEPPE 76	17:18:23	00:36:54	01:12:55	00:44:42	00:36:54	01:12:55	00:44:42
227	628			Joffrey BOURLAND	02:34:34	SEM	132	221	HAC TRI	17:18:26	00:38:55	01:11:39	00:43:59	00:38:55	01:11:39	00:43:59
228	1004			Jacky LE PINSEC	02:34:37	VEM	86	222	BRAIN-SUR-L AUTHION	17:18:29	00:34:07	01:12:04	00:48:25	00:34:07	01:12:04	00:48:25
229	67			Romain DUGAS	02:34:46	SEM	133	223	TRI CLUB NANTAIS	17:18:38	00:38:16	01:12:37	00:43:53	00:38:16	01:12:37	00:43:53
230	731			Alain TERMINET	02:34:47	VEM	87	224	HERBLAY	17:18:39	00:38:54	01:15:17	00:40:35	00:38:54	01:15:17	00:40:35
231	884			Lucie KOPIEC	02:34:57	SEF	6	7	VMT	17:18:49	00:34:25	01:15:01	00:45:30	00:34:25	01:15:01	00:45:30
232	875			Julien HENRIQUES	02:35:00	SEM	134	225	ASNIERES-SUR-SEINE	17:18:52	00:37:42	01:17:15	00:40:02	00:37:42	01:17:15	00:40:02
233	513			Yann GANACHAUD	02:35:00	VEM	88	226	ATHLETIC RETZ SUD LAC	17:18:52	00:39:37	01:10:33	00:44:49	00:39:37	01:10:33	00:44:49
234	264			Yvon LE GALL	02:35:14	VEM	89	227	PLOEMEUR TRI	17:19:06	00:33:47	01:09:08	00:52:19	00:33:47	01:09:08	00:52:19
235	752			Nicolas PORCHER	02:35:25	VEM	90	228	LAVAL	17:19:16	00:39:24	01:15:29	00:40:30	00:39:24	01:15:29	00:40:30
236	847			Clement BERTON	02:35:28	SEM	135	229	TRIATHLON CLUB TORCY	17:19:20	00:33:49	01:12:18	00:49:20	00:33:49	01:12:18	00:49:20
237	99			Jerome OUVRARD	02:35:29	SEM	136	230	TRI CLUB NANTAIS	17:19:21	00:37:44	01:13:14	00:44:29	00:37:44	01:13:14	00:44:29
238	824			Emmanuel CASTUS	02:35:30	VEM	91	231	REQUINS COURONNAIS TRIATHLON	17:19:22	00:40:56	01:11:02	00:43:31	00:40:56	01:11:02	00:43:31
239	637			Pierre LEGENDRE	02:35:45	SEM	137	232	BROCELIANDE TRI	17:19:37	00:42:40	01:13:30	00:39:34	00:42:40	01:13:30	00:39:34
240	665			Benjamin LEPAISANT	02:35:46	SEM	138	233	CNP REDON	17:19:38	00:38:57	01:12:06	00:44:43	00:38:57	01:12:06	00:44:43
241	359			Damien CUOQ	02:35:47	VEM	92	234	US PALAISEAU TRI	17:19:38	00:35:56	01:12:24	00:47:25	00:35:56	01:12:24	00:47:25
242	782			Marc DELAVEAU	02:35:50	VEM	93	235	SAINT-NAZAIRE	17:19:42	00:33:06	01:19:55	00:42:48	00:33:06	01:19:55	00:42:48
243	11			Vincent LHOPITAL	02:36:08	SEM	139	236	WILD TEAM TRI AIRBUS |	17:20:00	00:36:02	01:13:55	00:46:11	00:36:02	01:13:55	00:46:11
244	330			Ghilini LAFONT	02:36:11	VEM	94	237	UNION ATHLETIQUE SOCIETE GENERALE	17:20:03	00:39:39	01:10:51	00:45:40	00:39:39	01:10:51	00:45:40
245	275			Yves LE GUER	02:36:12	VEM	95	238	PAU TRI	17:20:04	00:35:41	01:14:01	00:46:29	00:35:41	01:14:01	00:46:29
246	495			Didier HERANT	02:36:13	VEM	96	239	BEST TRI SAINT NAZAIRE	17:20:04	00:36:27	01:15:07	00:44:37	00:36:27	01:15:07	00:44:37
247	308			Pierre ASSELIN	02:36:14	SEM	140	240	CLUB DES NAGEURS DE PARIS	17:20:06	00:36:56	01:13:51	00:45:26	00:36:56	01:13:51	00:45:26
248	292			Franck DERET	02:36:17	VEM	97	241	MAT 72  LE MANS ASSOCIATION TRIA	17:20:08	00:37:46	01:11:59	00:46:31	00:37:46	01:11:59	00:46:31
249	649			Herve DURAND	02:36:17	VEM	98	242	AS ENERGY 91 TRI	17:20:09	00:37:56	01:11:55	00:46:25	00:37:56	01:11:55	00:46:25
250	251			Franck LAMY	02:36:18	VEM	99	243	CHATEAU GONTIER TRI	17:20:10	00:31:27	01:14:14	00:50:37	00:31:27	01:14:14	00:50:37
251	321			Emilien CHAUVETET	02:36:27	SEM	141	244	STADE FRANCAIS	17:20:18	00:43:43	01:09:32	00:43:11	00:43:43	01:09:32	00:43:11
252	922			Reynald MARTINEAU	02:36:30	SEM	142	245	POISSY TRI	17:20:21	00:39:48	01:11:02	00:45:39	00:39:48	01:11:02	00:45:39
253	732			David BREBION	02:36:32	SEM	143	246	USA TRIATHLON	17:20:24	00:38:35	01:12:35	00:45:22	00:38:35	01:12:35	00:45:22
254	967			Alderic LOGEAIS	02:36:37	SEM	144	247	LES SABLES VENDEE TRI	17:20:29	00:40:48	01:11:55	00:43:53	00:40:48	01:11:55	00:43:53
255	522			Antoine HALOPEAU	02:36:39	SEM	145	248	TRI OLYMPIC DINARD	17:20:31	00:35:46	01:13:57	00:46:55	00:35:46	01:13:57	00:46:55
256	204			Christophe GUERET	02:36:39	VEM	100	249	SAUMUR TEAM TRI	17:20:31	00:37:44	01:12:02	00:46:52	00:37:44	01:12:02	00:46:52
257	454			Pascal LUSSON	02:36:43	VEM	101	250	PAYS D ANCENIS CLUB TRI 44	17:20:35	00:39:39	01:10:30	00:46:32	00:39:39	01:10:30	00:46:32
258	455			Sebastien GOUBAUD	02:36:44	VEM	102	251	PAYS D ANCENIS CLUB TRI 44	17:20:35	00:39:21	01:11:33	00:45:49	00:39:21	01:11:33	00:45:49
259	890			Guillaume MORIN	02:36:46	SEM	146	252	LA BAULE-ESCOUBLAC	17:20:37	00:38:37	01:17:16	00:40:52	00:38:37	01:17:16	00:40:52
260	774			Jean-Marie QUEMENER	02:36:52	SEM	147	253	PARIS	17:20:44	00:34:37	01:17:07	00:45:07	00:34:37	01:17:07	00:45:07
261	818			Pierre-Henri CORBILLE	02:36:52	SEM	148	254	PONTCHATEAU	17:20:44	00:39:30	01:12:35	00:44:46	00:39:30	01:12:35	00:44:46
262	293			Ludovic DURAND	02:36:53	VEM	103	255	MAT 72  LE MANS ASSOCIATION TRIA	17:20:45	00:36:13	01:13:35	00:47:05	00:36:13	01:13:35	00:47:05
263	249			Bruno GAIGNER	02:36:54	SEM	149	256	CHATEAU GONTIER TRI	17:20:46	00:42:15	01:12:46	00:41:52	00:42:15	01:12:46	00:41:52
264	247			Jerome DELOGE	02:36:56	SEM	150	257	CHATEAU GONTIER TRI	17:20:48	00:40:04	01:13:41	00:43:10	00:40:04	01:13:41	00:43:10
265	980			Philippe MOREAU	02:37:00	VEM	104	258	STADE POITEVIN TRI	17:20:52	00:45:02	01:13:25	00:38:32	00:45:02	01:13:25	00:38:32
266	172			Laurent SAVARIN	02:37:00	VEM	105	259	TRI VELOCE SAINT SEBASTIEN	17:20:52	00:38:46	01:14:43	00:43:31	00:38:46	01:14:43	00:43:31
267	347			Benoit PLUNIAN	02:37:01	SEM	151	260	POMPIERS VANNES AVENTURE	17:20:53	00:36:25	01:17:36	00:42:59	00:36:25	01:17:36	00:42:59
268	119			Jerome BLIN	02:37:20	VEM	106	261	TRI COTE D AMOUR	17:21:12	00:39:32	01:11:01	00:46:46	00:39:32	01:11:01	00:46:46
269	997			Alain WEMELLE	02:37:22	VEM	107	262	CLUB YERROIS DE TRI 91	17:21:14	00:40:12	01:10:40	00:46:29	00:40:12	01:10:40	00:46:29
270	834			Stephane LE SEAC H	02:37:23	VEM	108	263	MAGNY-LES-HAMEAUX	17:21:15	00:38:29	01:16:21	00:42:32	00:38:29	01:16:21	00:42:32
271	383			Franck NOURICHARD	02:37:33	VEM	109	264	COURBEVOIE TRI	17:21:25	00:36:11	01:14:29	00:46:52	00:36:11	01:14:29	00:46:52
272	483			Christophe SIMON	02:37:35	VEM	110	265	BEST TRI SAINT NAZAIRE	17:21:27	00:32:58	01:15:00	00:49:37	00:32:58	01:15:00	00:49:37
273	608			Arnaud ROBERT	02:37:35	SEM	152	266	OLYMPIQUE CLUB CESSONNAIS DE NATATION	17:21:27	00:36:54	01:12:52	00:47:48	00:36:54	01:12:52	00:47:48
274	542			Sylvain MARCHESSEAU	02:37:36	VEM	111	267	LA ROCHELLE TRI	17:21:28	00:38:29	01:12:30	00:46:36	00:38:29	01:12:30	00:46:36
275	235			Nicolas QUEMENEUR	02:37:37	VEM	112	268	TOBESPORT	17:21:29	00:38:55	01:11:37	00:47:04	00:38:55	01:11:37	00:47:04
276	759			Nicolas FAVREL	02:37:40	VEM	113	269	THOUARE-SUR-LOIRE	17:21:32	00:39:57	01:11:03	00:46:40	00:39:57	01:11:03	00:46:40
277	611			Julien VIMONT	02:37:46	VEM	114	270	NOGENT SOLIDARITE TRI	17:21:37	00:41:02	01:12:38	00:44:05	00:41:02	01:12:38	00:44:05
278	474			Gaetan PERRAUD	02:37:49	VEM	115	271	BLAIN TRI	17:21:41	00:36:48	01:13:14	00:47:46	00:36:48	01:13:14	00:47:46
279	581			Didier DUMAIN	02:37:54	VEM	116	272	VILLENEUVE D ASCQ TRI	17:21:45	00:41:52	01:13:34	00:42:27	00:41:52	01:13:34	00:42:27
280	631			Remi PAYRE	02:37:54	VEM	117	273	CA VILLENAVE D ORNON TRI	17:21:46	00:41:10	01:12:06	00:44:37	00:41:10	01:12:06	00:44:37
281	6			Emmanuel RORTEAU	02:37:58	VEM	118	274	CONSEIL REGIONAL |	17:21:50	00:41:16	01:11:40	00:45:01	00:41:16	01:11:40	00:45:01
282	771			Fabien MAIGROT	02:38:01	VEM	119	275	AUFFARGIS	17:21:53	00:39:29	01:15:17	00:43:15	00:39:29	01:15:17	00:43:15
283	415			Adrien MARECHAL	02:38:03	SEM	153	276	TRI SANNOIS FRANCONVILLE	17:21:55	00:39:26	01:11:06	00:47:30	00:39:26	01:11:06	00:47:30
284	160			Brice GUTERMANN	02:38:04	VEM	120	277	TRI SPORT COUERONNAIS	17:21:56	00:43:10	01:11:40	00:43:14	00:43:10	01:11:40	00:43:14
285	574			Marc GIRAUDON	02:38:13	VEM	121	278	WILD TEAM TRI	17:22:04	00:38:05	01:14:16	00:45:51	00:38:05	01:14:16	00:45:51
286	605			Anne BOURCY	02:38:14	SEF	7	8	RACING MULTI ATHLON	17:22:05	00:36:47	01:14:10	00:47:16	00:36:47	01:14:10	00:47:16
287	750			Laurent LE MOUILLOUR	02:38:14	VEM	122	279	VANNES	17:22:06	00:37:21	01:14:01	00:46:51	00:37:21	01:14:01	00:46:51
288	545			Mickael DELAVAUD	02:38:15	VEM	123	280	LA ROCHELLE TRI	17:22:07	00:40:57	01:11:59	00:45:18	00:40:57	01:11:59	00:45:18
289	557			Jean Louis GOMES	02:38:17	SEM	154	281	YPRL SAINT CYR TRI	17:22:09	00:37:58	01:15:48	00:44:30	00:37:58	01:15:48	00:44:30
290	927			Stephane ROBERT	02:38:23	VEM	124	282	POISSY TRI	17:22:15	00:34:42	01:12:37	00:51:03	00:34:42	01:12:37	00:51:03
291	534			Samuel FERLICOT	02:38:27	VEM	125	283	CEPS DINAN ARMOR TRI	17:22:18	00:35:17	01:14:07	00:49:01	00:35:17	01:14:07	00:49:01
292	226			Francois GRELET	02:38:30	SEM	155	284	TOBESPORT	17:22:21	00:40:20	01:13:19	00:44:50	00:40:20	01:13:19	00:44:50
293	959			Gregory BODIN	02:38:34	VEM	126	285	LA ROCHE VENDEE TRI	17:22:26	00:37:58	01:13:15	00:47:20	00:37:58	01:13:15	00:47:20
294	274			Yannick QUINIO	02:38:36	VEM	127	286		17:22:28	00:38:54	01:15:12	00:44:29	00:38:54	01:15:12	00:44:29
295	657			Benoit THEZE	02:38:37	SEM	156	287	TRIATHLON CLUB LOCMINE	17:22:29	00:38:41	01:12:01	00:47:54	00:38:41	01:12:01	00:47:54
296	445			Gaspard CHALABREYSSE	02:38:38	SEM	157	288	PARIS	17:22:29	00:37:34	01:12:08	00:48:54	00:37:34	01:12:08	00:48:54
297	135			Stephane KLEIN	02:38:39	VEM	128	289	TRI COTE D AMOUR	17:22:31	00:35:19	01:13:22	00:49:57	00:35:19	01:13:22	00:49:57
298	148			Frederic POUTEAU	02:38:42	SEM	158	290	TRI COTE D AMOUR	17:22:34	00:32:17	01:13:56	00:52:29	00:32:17	01:13:56	00:52:29
299	572			Romain GREGOND	02:38:47	SEM	159	291	WILD TEAM TRI	17:22:38	00:37:31	01:17:08	00:44:07	00:37:31	01:17:08	00:44:07
300	361			Stephane GUILLOTIN	02:38:49	VEM	129	292	US PALAISEAU TRI	17:22:41	00:40:25	01:14:00	00:44:22	00:40:25	01:14:00	00:44:22
301	914			David SICARD	02:38:53	VEM	130	293	GUENROUET	17:22:45	00:40:09	01:12:04	00:46:39	00:40:09	01:12:04	00:46:39
302	112			Stephane SCHOUMAKER	02:38:55	VEM	131	294	TRI CLUB NANTAIS	17:22:46	00:33:36	01:18:45	00:46:33	00:33:36	01:18:45	00:46:33
303	621			Marcel LE FUR	02:38:55	VEM	132	295	LORIENT TRI FLK	17:22:47	00:36:05	01:13:55	00:48:55	00:36:05	01:13:55	00:48:55
304	660			Ivan PORTE	02:39:00	VEM	133	296	PLESSIS ROBINSON	17:22:51	00:39:19	01:14:36	00:45:03	00:39:19	01:14:36	00:45:03
305	591			Benjamin TETART	02:39:02	SEM	160	297	SAINT LO TRI	17:22:54	00:36:22	01:14:24	00:48:16	00:36:22	01:14:24	00:48:16
306	352			Bruno MARCHEBOUT	02:39:05	VEM	134	298	TRI CLUB DE VILLEPARISIS	17:22:56	00:34:15	01:13:06	00:51:43	00:34:15	01:13:06	00:51:43
307	677			Harold LEMAITRE	02:39:05	SEM	161	299	LE MANS	17:22:57	00:39:03	01:14:46	00:45:14	00:39:03	01:14:46	00:45:14
308	262			Damien LE BRIS	02:39:06	SEM	162	300	LAVAL TRI CLUB	17:22:58	00:35:38	01:11:28	00:51:59	00:35:38	01:11:28	00:51:59
309	457			Anthony BRANGEON	02:39:10	VEM	135	301	PAYS D ANCENIS CLUB TRI 44	17:23:02	00:41:35	01:13:42	00:43:52	00:41:35	01:13:42	00:43:52
310	252			Lionel RIESTER	02:39:17	SEM	163	302	CHATEAU GONTIER TRI	17:23:08	00:40:01	01:15:56	00:43:18	00:40:01	01:15:56	00:43:18
311	529			Olivier COURTECUISSE	02:39:17	VEM	136	303	S A M MERIGNAC TRI	17:23:08	00:36:09	01:15:26	00:47:41	00:36:09	01:15:26	00:47:41
312	407			Julien SERRES	02:39:20	VEM	137	304	MEUDON TRI	17:23:11	00:37:18	01:13:48	00:48:12	00:37:18	01:13:48	00:48:12
313	592			Christophe BOSCHET	02:39:21	VEM	138	305	SAINT LO TRI	17:23:12	00:35:57	01:17:51	00:45:32	00:35:57	01:17:51	00:45:32
314	144			Sebastien PHILIPPE	02:39:27	VEM	139	306	TRI COTE D AMOUR	17:23:18	00:36:21	01:12:17	00:50:47	00:36:21	01:12:17	00:50:47
315	340			Francois HERMIER	02:39:28	VEM	140	307	ROUEN TRI	17:23:19	00:34:59	01:14:59	00:49:28	00:34:59	01:14:59	00:49:28
316	95			Laure MENARD	02:39:28	SEF	8	9	TRI CLUB NANTAIS	17:23:20	00:41:31	01:13:03	00:44:54	00:41:31	01:13:03	00:44:54
317	29			Maxime FARDOUIN	02:39:40	SEM	164	308	SNLS44	17:23:31	00:35:29	01:11:31	00:52:39	00:35:29	01:11:31	00:52:39
318	685			Eric THOMIN	02:39:41	VEM	141	309	POUILLE-LES-COTEAUX	17:23:33	00:35:43	01:16:28	00:47:29	00:35:43	01:16:28	00:47:29
319	267			Yannick FEDUN	02:39:42	SEM	165	310	TRIATHLE VANNES	17:23:34	00:38:02	01:15:38	00:46:02	00:38:02	01:15:38	00:46:02
320	968			Paul PROUTEAU	02:39:44	JUM	5	311	LES SABLES VENDEE TRI	17:23:36	00:35:20	01:14:13	00:50:11	00:35:20	01:14:13	00:50:11
321	965			Olivier ROBIC	02:39:47	VEM	142	312	LA ROCHE VENDEE TRI	17:23:39	00:36:45	01:11:44	00:51:17	00:36:45	01:11:44	00:51:17
322	636			Etienne TRIBODET	02:39:49	VEM	143	313	BROCELIANDE TRI	17:23:41	00:37:56	01:12:59	00:48:53	00:37:56	01:12:59	00:48:53
323	157			Wilfried ALTEIRAC	02:39:53	SEM	166	314	TRI SPORT COUERONNAIS	17:23:44	00:35:16	01:16:15	00:48:21	00:35:16	01:16:15	00:48:21
324	489			Patrick LEROUX	02:39:53	VEM	144	315	BEST TRI SAINT NAZAIRE	17:23:44	00:39:07	01:14:43	00:46:02	00:39:07	01:14:43	00:46:02
325	1013			Ludovic LEVEQUE	02:39:56	SEM	167	316	CLUB BPC	17:23:48	00:40:37	01:15:30	00:43:48	00:40:37	01:15:30	00:43:48
